areacd,value
E01000661,1
E01000662,5
E01000663,4
E01000664,5
E01000665,6
E01000666,10
E01000667,10
E01000668,6
E01000669,7
E01000670,9
E01000671,6
E01000672,8
E01000673,7
E01000674,6
E01000675,7
E01000676,3
E01000677,7
E01000678,7
E01000679,7
E01000680,9
E01000681,10
E01000682,10
E01000683,6
E01000684,10
E01000685,5
E01000686,7
E01000687,8
E01000688,10
E01000689,3
E01000690,8
E01000691,5
E01000692,7
E01000693,8
E01000694,10
E01000695,9
E01000696,10
E01000697,10
E01000698,10
E01000699,4
E01000700,5
E01000701,6
E01000702,6
E01000703,8
E01000704,7
E01000705,4
E01000706,5
E01000707,10
E01000708,7
E01000709,6
E01000710,7
E01000711,7
E01000712,9
E01000713,8
E01000714,8
E01000715,9
E01000716,8
E01000717,7
E01000718,3
E01000719,3
E01000720,1
E01000721,1
E01000722,3
E01000723,7
E01000724,2
E01000725,3
E01000726,6
E01000727,5
E01000728,4
E01000729,1
E01000730,1
E01000731,3
E01000732,6
E01000733,3
E01000734,6
E01000735,3
E01000736,3
E01000737,2
E01000738,4
E01000739,1
E01000740,4
E01000741,3
E01000742,3
E01000743,2
E01000744,1
E01000745,4
E01000746,4
E01000747,6
E01000748,8
E01000749,9
E01000750,3
E01000751,8
E01000752,7
E01000753,10
E01000754,8
E01000755,10
E01000756,10
E01000757,10
E01000758,10
E01000759,10
E01000760,8
E01000761,9
E01000762,8
E01000763,10
E01000764,6
E01000765,8
E01000766,10
E01000767,10
E01000768,9
E01000769,6
E01000770,10
E01000771,10
E01000772,9
E01000773,9
E01000774,8
E01000775,9
E01000777,9
E01000778,7
E01000779,5
E01000780,3
E01000781,1
E01000782,1
E01000783,2
E01000784,7
E01000785,2
E01000786,9
E01000787,4
E01000788,4
E01000789,1
E01000790,6
E01000791,7
E01000792,3
E01000793,10
E01000794,10
E01000795,5
E01000796,1
E01000797,8
E01000798,1
E01000799,4
E01000800,3
E01000801,3
E01000802,4
E01000803,4
E01000804,8
E01000805,4
E01000806,2
E01000807,9
E01000808,8
E01000809,10
E01000810,10
E01000811,9
E01000812,6
E01000813,10
E01000814,10
E01000815,10
E01000816,6
E01000818,8
E01000819,2
E01000820,4
E01000822,5
E01000823,8
E01000824,5
E01000825,5
E01000826,10
E01000827,8
E01000828,8
E01000829,8
E01000830,10
E01000831,8
E01000832,9
E01000833,10
E01000834,10
E01000835,7
E01000836,10
E01000837,6
E01000838,10
E01000839,10
E01000840,9
E01000841,9
E01000842,8
E01000843,4
E01000844,8
E01000845,6
E01000846,2
E01000847,3
E01000848,9
E01000849,9
E01000850,8
E01000851,9
E01000852,7
E01000853,2
E01000854,5
E01000855,8
E01000856,2
E01000857,4
E01000858,1
E01000859,8
E01000860,4
E01000861,3
E01000862,8
E01000863,3
E01000864,4
E01000865,7
E01000866,3
E01000867,2
E01000868,2
E01000869,3
E01000870,2
E01000871,5
E01000872,4
E01000873,7
E01000874,9
E01000875,4
E01000876,2
E01000877,7
E01000878,8
E01000879,9
E01000880,9
E01000881,7
E01000882,10
E01000883,8
E01000884,9
E01000885,10
E01000886,6
E01000887,5
E01000888,4
E01000889,2
E01000890,1
E01000891,1
E01000892,4
E01000893,10
E01000894,10
E01000895,5
E01000896,10
E01000897,10
E01000898,5
E01000899,10
E01000900,3
E01000901,1
E01000902,1
E01000903,4
E01000904,2
E01000905,1
E01000906,6
E01000907,1
E01000908,3
E01000909,6
E01000910,8
E01000911,4
E01000912,2
E01000913,10
E01000914,6
E01000915,2
E01000916,4
E01000917,1
E01000918,3
E01000919,5
E01000920,4
E01000921,5
E01000922,3
E01000923,3
E01000924,5
E01000925,1
E01000926,3
E01000927,5
E01000928,3
E01000929,2
E01000930,1
E01000931,2
E01000932,3
E01000933,4
E01000934,1
E01000935,1
E01000936,4
E01000937,8
E01000938,3
E01000939,1
E01000940,3
E01000941,2
E01000942,8
E01000943,6
E01000944,3
E01000945,4
E01000946,4
E01000947,3
E01000948,4
E01000949,3
E01000950,2
E01000951,2
E01000952,2
E01000953,1
E01000954,1
E01000955,2
E01000956,2
E01000957,2
E01000958,2
E01000959,2
E01000960,5
E01000961,2
E01000962,9
E01000963,7
E01000964,4
E01000965,3
E01000966,10
E01000967,9
E01000968,5
E01000969,8
E01000970,7
E01000971,7
E01000972,2
E01000973,3
E01000974,2
E01000975,4
E01000976,4
E01000977,3
E01000978,6
E01000979,6
E01000980,4
E01000981,5
E01000982,4
E01000983,7
E01000984,3
E01000985,8
E01000986,6
E01000987,9
E01000989,7
E01000990,2
E01000991,9
E01000992,2
E01000993,6
E01000994,4
E01000995,4
E01000996,4
E01000997,3
E01000998,3
E01000999,4
E01001000,3
E01001001,2
E01001002,3
E01001003,3
E01001004,2
E01001005,4
E01001006,2
E01001007,4
E01001008,2
E01001009,4
E01001010,2
E01001011,3
E01001012,3
E01001013,1
E01001014,2
E01001015,4
E01001016,7
E01001017,10
E01001018,9
E01001019,10
E01001020,8
E01001021,2
E01001022,8
E01001023,5
E01001024,7
E01001025,9
E01001026,6
E01001027,7
E01001028,10
E01001029,7
E01001030,9
E01001031,9
E01001032,10
E01001033,7
E01001034,6
E01001035,5
E01001036,8
E01001037,4
E01001038,5
E01001039,9
E01001040,5
E01001041,4
E01001042,2
E01001043,4
E01001044,8
E01001045,3
E01001046,9
E01001047,5
E01001048,3
E01001049,9
E01001050,4
E01001051,2
E01001052,1
E01001053,3
E01001054,2
E01001055,2
E01001056,1
E01001057,1
E01001058,7
E01001059,6
E01001060,5
E01001061,4
E01001062,7
E01001063,8
E01001064,9
E01001065,7
E01001066,1
E01001067,10
E01001068,5
E01001069,8
E01001070,5
E01001071,7
E01001072,10
E01001073,6
E01001074,5
E01001075,6
E01001076,3
E01001077,5
E01001078,2
E01001079,2
E01001080,1
E01001081,2
E01001082,2
E01001083,7
E01001084,7
E01001085,4
E01001086,6
E01001087,5
E01001088,4
E01001089,2
E01001090,3
E01001091,5
E01001092,7
E01001093,5
E01001094,9
E01001095,5
E01001096,8
E01001097,4
E01001098,9
E01001099,4
E01001100,8
E01001101,10
E01001102,8
E01001103,9
E01001104,9
E01001105,5
E01001106,7
E01001107,9
E01001108,10
E01001109,2
E01001110,3
E01001111,3
E01001112,2
E01001113,2
E01001114,2
E01001115,2
E01001116,3
E01001117,4
E01001118,2
E01001119,10
E01001120,7
E01001121,9
E01001122,10
E01001123,9
E01001124,10
E01001125,6
E01001126,8
E01001127,8
E01001128,2
E01001129,10
E01001130,1
E01001131,5
E01001132,8
E01001133,7
E01001134,6
E01001135,8
E01001136,3
E01001137,3
E01001138,5
E01001139,4
E01001140,4
E01001141,3
E01001142,4
E01001143,2
E01001144,2
E01001145,2
E01001146,3
E01001147,2
E01001148,3
E01001149,4
E01001150,4
E01001151,2
E01001152,3
E01001153,3
E01001154,3
E01001155,1
E01001156,3
E01001157,5
E01001158,4
E01001159,5
E01001160,6
E01001161,1
E01001162,3
E01001163,6
E01001164,5
E01001165,5
E01001166,3
E01001167,5
E01001168,6
E01001169,2
E01001170,4
E01001171,3
E01001172,1
E01001173,3
E01001174,4
E01001175,3
E01001176,4
E01001177,3
E01001178,1
E01001179,4
E01001180,4
E01001181,2
E01001182,4
E01001183,4
E01001184,5
E01001185,4
E01001186,2
E01001187,3
E01001188,2
E01001189,4
E01001190,3
E01001191,2
E01001192,3
E01001193,2
E01001194,4
E01001195,5
E01001196,1
E01001197,4
E01001198,6
E01001199,3
E01001200,5
E01001201,5
E01001202,2
E01001203,3
E01001204,5
E01001205,2
E01001206,1
E01001207,6
E01001208,8
E01001209,9
E01001210,1
E01001211,7
E01001212,7
E01001213,3
E01001214,5
E01001215,3
E01001216,5
E01001217,5
E01001218,2
E01001219,1
E01001220,1
E01001221,5
E01001222,5
E01001223,8
E01001224,10
E01001225,5
E01001226,6
E01001227,9
E01001228,7
E01001229,3
E01001230,4
E01001231,7
E01001232,4
E01001233,4
E01001234,5
E01001235,7
E01001236,5
E01001237,8
E01001238,3
E01001239,2
E01001240,3
E01001241,4
E01001242,3
E01001243,2
E01001244,2
E01001245,5
E01001246,2
E01001247,4
E01001248,4
E01001249,2
E01001250,2
E01001251,6
E01001252,3
E01001253,5
E01001254,6
E01001255,7
E01001257,1
E01001258,5
E01001259,5
E01001260,5
E01001261,4
E01001262,3
E01001263,2
E01001264,3
E01001265,5
E01001266,6
E01001267,3
E01001268,6
E01001269,7
E01001270,6
E01001271,4
E01001272,7
E01001273,9
E01001274,7
E01001275,6
E01001276,4
E01001277,5
E01001278,4
E01001279,10
E01001280,7
E01001281,9
E01001282,2
E01001283,1
E01001284,6
E01001285,3
E01001286,4
E01001287,2
E01001288,5
E01001289,6
E01001290,7
E01001291,5
E01001292,6
E01001293,4
E01001294,4
E01001295,6
E01001296,4
E01001297,4
E01001298,3
E01001299,9
E01001300,9
E01001301,6
E01001302,8
E01001303,9
E01001304,6
E01001305,9
E01001306,9
E01001307,7
E01001308,7
E01001309,6
E01001310,5
E01001311,3
E01001312,6
E01001313,7
E01001314,6
E01001315,4
E01001316,2
E01001317,3
E01001318,2
E01001319,5
E01001320,1
E01001321,3
E01001322,5
E01001323,4
E01001324,3
E01001325,3
E01001326,2
E01001327,3
E01001328,2
E01001329,3
E01001330,1
E01001331,1
E01001332,2
E01001333,1
E01001334,1
E01001335,5
E01001336,3
E01001337,3
E01001338,4
E01001339,2
E01001340,2
E01001341,7
E01001342,5
E01001343,6
E01001344,4
E01001345,5
E01001346,6
E01001347,6
E01001348,5
E01001349,3
E01001350,5
E01001351,3
E01001352,5
E01001353,4
E01001354,5
E01001355,4
E01001356,1
E01001357,1
E01001358,1
E01001359,4
E01001360,4
E01001361,2
E01001362,3
E01001363,4
E01001364,1
E01001365,3
E01001366,3
E01001367,3
E01001368,3
E01001369,3
E01001370,3
E01001371,2
E01001372,3
E01001373,3
E01001374,5
E01001375,10
E01001376,3
E01001377,8
E01001379,10
E01001380,7
E01001381,4
E01001382,9
E01001383,7
E01001384,8
E01001385,8
E01001386,8
E01001387,6
E01001388,2
E01001389,4
E01001390,6
E01001391,4
E01001392,7
E01001393,5
E01001394,2
E01001395,2
E01001396,3
E01001397,2
E01001398,7
E01001399,7
E01001400,7
E01001401,6
E01001402,7
E01001403,5
E01001404,4
E01001405,6
E01001406,3
E01001407,5
E01001408,4
E01001409,2
E01001410,1
E01001411,5
E01001412,4
E01001413,8
E01001414,1
E01001415,4
E01001416,8
E01001417,10
E01001418,4
E01001419,5
E01001420,3
E01001421,3
E01001422,10
E01001423,2
E01001424,1
E01001425,1
E01001426,2
E01001427,1
E01001428,1
E01001429,1
E01001430,1
E01001431,1
E01001432,2
E01001433,1
E01001434,2
E01001435,2
E01001436,2
E01001437,1
E01001438,2
E01001439,1
E01001440,3
E01001441,2
E01001442,1
E01001444,3
E01001445,2
E01001446,3
E01001447,1
E01001448,1
E01001449,2
E01001450,4
E01001451,8
E01001452,8
E01001453,9
E01001454,8
E01001455,6
E01001456,10
E01001457,6
E01001458,1
E01001459,2
E01001460,2
E01001461,1
E01001462,2
E01001463,3
E01001464,2
E01001465,2
E01001466,2
E01001467,2
E01001468,5
E01001469,4
E01001470,7
E01001471,5
E01001472,5
E01001473,4
E01001474,7
E01001475,9
E01001476,3
E01001477,2
E01001478,4
E01001479,2
E01001480,3
E01001481,2
E01001482,2
E01001483,1
E01001484,3
E01001485,1
E01001486,1
E01001487,1
E01001488,2
E01001489,2
E01001491,1
E01001492,2
E01001493,2
E01001494,4
E01001495,7
E01001496,5
E01001497,2
E01001498,5
E01001499,3
E01001500,4
E01001501,3
E01001502,2
E01001503,2
E01001504,3
E01001505,2
E01001506,1
E01001507,1
E01001508,2
E01001509,2
E01001510,1
E01001511,4
E01001512,4
E01001513,2
E01001514,3
E01001515,1
E01001516,2
E01001517,1
E01001518,4
E01001519,5
E01001520,4
E01001521,7
E01001522,4
E01001523,7
E01001524,4
E01001525,4
E01001526,8
E01001527,5
E01001528,2
E01001529,2
E01001530,4
E01001531,8
E01001532,9
E01001533,9
E01001534,6
E01001535,7
E01001536,5
E01001537,6
E01001538,7
E01001539,6
E01001540,5
E01001541,7
E01001542,3
E01001543,6
E01001544,7
E01001545,1
E01001546,2
E01001547,2
E01001548,2
E01001549,1
E01001550,2
E01001551,1
E01001552,3
E01001553,2
E01001554,1
E01001555,3
E01001556,4
E01001557,1
E01001558,1
E01001559,1
E01001560,2
E01001562,1
E01001563,6
E01001564,6
E01001565,5
E01001566,6
E01001567,9
E01001568,8
E01001569,6
E01001570,4
E01001571,5
E01001572,5
E01001573,4
E01001574,1
E01001575,1
E01001576,1
E01001577,2
E01001578,3
E01001579,2
E01001580,8
E01001581,4
E01001582,3
E01001583,8
E01001584,9
E01001585,7
E01001586,4
E01001587,7
E01001588,3
E01001589,3
E01001590,5
E01001591,2
E01001592,6
E01001593,7
E01001594,1
E01001595,3
E01001596,7
E01001597,6
E01001598,6
E01001599,5
E01001600,5
E01001601,6
E01001602,2
E01001603,2
E01001604,7
E01001605,8
E01001606,9
E01001607,5
E01001608,8
E01001609,4
E01001610,6
E01001611,5
E01001613,4
E01001614,8
E01001615,5
E01001617,8
E01001618,3
E01001619,5
E01001620,2
E01001621,2
E01001623,4
E01001624,4
E01001625,2
E01001629,2
E01001631,2
E01001632,4
E01001633,1
E01001634,1
E01001635,4
E01001636,3
E01001637,3
E01001638,2
E01001640,2
E01001641,6
E01001642,8
E01001644,6
E01001645,3
E01001646,3
E01001647,5
E01001648,5
E01001649,2
E01001650,3
E01001651,2
E01001652,5
E01001653,1
E01001654,1
E01001655,1
E01001656,4
E01001657,7
E01001658,4
E01001659,5
E01001660,2
E01001661,3
E01001662,6
E01001664,5
E01001665,6
